Encoding	3	1
5-6-1	1. Enter Zip 2. Get Your Free List Of Local Foreclosure Homes :: 181 :: 	http://700757.r.msn.com/?ld=4v8yITQpO3P5xlKHcU5pOF6O31A1med-IPmsC4KAlTsWPf0qmUuZOSCiSnkgWGaT58XlOcXMUsfIEcfqRWikxQ7rMcRC62rakgi3bKC89Cbe2x4rq-a19GBi1yRXeJZjUwbRhqNIVbrlWhKT50jfTM0n3YMUquUvNtQFTnmRF38dyPFC1CTZ5PcR-i_LOH3XhWIUwzQkop3-ryHrnwyQL5HjVUCUzD2RKoeyjQ3qhLUT_weyBYECZjcz3I21FLtYEWH6hoUwyyid3S4VcOjnK9A4XhFrtYxY3GXg :: 182 :: 
5-7-1	Syracuse area homes for sale with multiple photos and detailed info :: 189 :: 	http://3303.r.msn.com/?ld=4vZjOjTZ7LYcdOyLhR03i95r1Z8bTjc00IiJ4kKQwTRVdux9JOZAFOY7tKEntHK8RpLiM17gAPhLKXrS260duRqjHCU7DTWtw4kcNKtyweLkmSImGeSbqX0AaWnDRguxhSJKWLSte64RAmeOtV63lJJGu4sprsDVQvgD9PWrDcyUNbGNRjlhBRwK-Kf3rto8H8Qpf4F8siNhrElrODCiLW-Yjni0qc7xsWjoNUjXD_X0wD-Z7iZZpCLANaRLDy7UOAykWIgEW9yjAUFCqHZQu9CEIT9eQRoINeTfYzY5jhOiw1VAlM--mWhYtKOlGLml6na7dKeRAmY3M9TEftmIRJR0koCP3tszMfxeQHHZhTwobUHsJSFzy1Pn4 :: 190 :: 
5-8-1	in Bangalore and Mysore by an ISO 9001-2000 property developer :: 229 :: 	http://0.r.msn.com/?ld=4vAv0a-cbRjmA6-m5v-N8-QX_Z1Bg9xVHqHxKKGm2Oh_TSLOaeAy9I9ex-rDgzGVXxdPa7AD2Je_Trxr_1Vf5b4bCbPYgVaaPoruWvt98LbLaD4gzfWMahApI70T83oArsttq2MMVDIYESB7r0SqFai1Jp4waqg4-VDhj3PlbrX2tHZwBy9sqguuOVcYq0b1EDjXEeMySLSm4XqjLoL6iezelki_c5R11W-FfScBqooBvziywVHdI3RmeDlZAq2TRdkiB8fk5x189V_89EANFJNzVUCUwzMIfU6Y8r4xzXNFim7bfaECZjcz3PcCfKjrhnHY1MKjJiQ8hLLH4N5A9L_f1Axyx12MbD2A :: 230 :: 
5-9-1	1. Enter Zip 2. Get Your Free List Of Local Foreclosure Homes :: 242 :: 	http://700757.r.msn.com/?ld=4vuINNlF9R3vT4L7O_XVQ2CtJ9reDEubKIDXUpPSUDDJ-MCrd52SC4ImqXLmGuX2KbpQkuRzmEhbpkuumRV3c2xWEEYk1dM0YLgYPD1O-gOBjkuthqN9eU29BKZ3MO1wtrjWuIiWHfDXt_gi_tGH_Kg4OrChTbZHx3HU45DM9NuhXAMahmnCpnJP18UIW9iArOjBl22aUehyqOdmd-Vnp1BTVUCUwBWoRb7ZR36I7LNqsoZu8_ECZjcz2PboH575fvO3eR2DI3mKViZbiqRsVmtSs-9ucd7KdhTA :: 243 :: 
5-10-1	Searching :: 249 :: 	http://0.r.msn.com/?ld=4vQ-Ht1dUAoXHNcdLJyH01QOuqwDNimox__3NdHVp7DZEr4nc9lzS8uw1dlatppd2yTbm3_eWESSQYY-xxESSAZSWGeYogxghTEauFtObpLuy3FVCRgUpo4dVwlCCALuxO5O927rFshUbYgKvLMEp2QMOgrMl8r3zcW0cUlBcE3XDg5ooHPBlt6TaE4rkkEPXgrtgHk2Su1GF2Ffj9-EU9j0q9Ts6VFNgxj4_frH0hGrRRgAtBIG6ptLAV858bL4OybX4myrog7HcAnsd6LNAzvZ6YcUQeCHZtBtpgrcrmdO3TCTnhwpq9GslLnOGpHN2GrA2tZnYH1f2qMylForzujgk-L5cQfShJ1iJCqNnl4lVRsEmjaV1ahGjpXnYRlUmt_H5iugjF-FdkmUqTwHc_NzVUCUxm45Kz3i5aiV56p6u9gUK-ECZjcz2zt-UpjMVG0cjw2FnfkrlCDXhJuKM7rS3GyJrmvBG_Ow :: 250 :: 
5-10-2	<B> Real </B> :: 251 :: 	http://0.r.msn.com/?ld=4vQ-Ht1dUAoXHNcdLJyH01QOuqwDNimox__3NdHVp7DZEr4nc9lzS8uw1dlatppd2yTbm3_eWESSQYY-xxESSAZSWGeYogxghTEauFtObpLuy3FVCRgUpo4dVwlCCALuxO5O927rFshUbYgKvLMEp2QMOgrMl8r3zcW0cUlBcE3XDg5ooHPBlt6TaE4rkkEPXgrtgHk2Su1GF2Ffj9-EU9j0q9Ts6VFNgxj4_frH0hGrRRgAtBIG6ptLAV858bL4OybX4myrog7HcAnsd6LNAzvZ6YcUQeCHZtBtpgrcrmdO3TCTnhwpq9GslLnOGpHN2GrA2tZnYH1f2qMylForzujgk-L5cQfShJ1iJCqNnl4lVRsEmjaV1ahGjpXnYRlUmt_H5iugjF-FdkmUqTwHc_NzVUCUxm45Kz3i5aiV56p6u9gUK-ECZjcz2zt-UpjMVG0cjw2FnfkrlCDXhJuKM7rS3GyJrmvBG_Ow :: 252 :: 
5-10-3	<B> Estate </B> :: 253 :: 	http://0.r.msn.com/?ld=4vQ-Ht1dUAoXHNcdLJyH01QOuqwDNimox__3NdHVp7DZEr4nc9lzS8uw1dlatppd2yTbm3_eWESSQYY-xxESSAZSWGeYogxghTEauFtObpLuy3FVCRgUpo4dVwlCCALuxO5O927rFshUbYgKvLMEp2QMOgrMl8r3zcW0cUlBcE3XDg5ooHPBlt6TaE4rkkEPXgrtgHk2Su1GF2Ffj9-EU9j0q9Ts6VFNgxj4_frH0hGrRRgAtBIG6ptLAV858bL4OybX4myrog7HcAnsd6LNAzvZ6YcUQeCHZtBtpgrcrmdO3TCTnhwpq9GslLnOGpHN2GrA2tZnYH1f2qMylForzujgk-L5cQfShJ1iJCqNnl4lVRsEmjaV1ahGjpXnYRlUmt_H5iugjF-FdkmUqTwHc_NzVUCUxm45Kz3i5aiV56p6u9gUK-ECZjcz2zt-UpjMVG0cjw2FnfkrlCDXhJuKM7rS3GyJrmvBG_Ow :: 254 :: 
5-10-4	For Sale? Explore :: 255 :: 	http://0.r.msn.com/?ld=4vQ-Ht1dUAoXHNcdLJyH01QOuqwDNimox__3NdHVp7DZEr4nc9lzS8uw1dlatppd2yTbm3_eWESSQYY-xxESSAZSWGeYogxghTEauFtObpLuy3FVCRgUpo4dVwlCCALuxO5O927rFshUbYgKvLMEp2QMOgrMl8r3zcW0cUlBcE3XDg5ooHPBlt6TaE4rkkEPXgrtgHk2Su1GF2Ffj9-EU9j0q9Ts6VFNgxj4_frH0hGrRRgAtBIG6ptLAV858bL4OybX4myrog7HcAnsd6LNAzvZ6YcUQeCHZtBtpgrcrmdO3TCTnhwpq9GslLnOGpHN2GrA2tZnYH1f2qMylForzujgk-L5cQfShJ1iJCqNnl4lVRsEmjaV1ahGjpXnYRlUmt_H5iugjF-FdkmUqTwHc_NzVUCUxm45Kz3i5aiV56p6u9gUK-ECZjcz2zt-UpjMVG0cjw2FnfkrlCDXhJuKM7rS3GyJrmvBG_Ow :: 256 :: 
5-10-5	<B> Las </B> :: 257 :: 	http://0.r.msn.com/?ld=4vQ-Ht1dUAoXHNcdLJyH01QOuqwDNimox__3NdHVp7DZEr4nc9lzS8uw1dlatppd2yTbm3_eWESSQYY-xxESSAZSWGeYogxghTEauFtObpLuy3FVCRgUpo4dVwlCCALuxO5O927rFshUbYgKvLMEp2QMOgrMl8r3zcW0cUlBcE3XDg5ooHPBlt6TaE4rkkEPXgrtgHk2Su1GF2Ffj9-EU9j0q9Ts6VFNgxj4_frH0hGrRRgAtBIG6ptLAV858bL4OybX4myrog7HcAnsd6LNAzvZ6YcUQeCHZtBtpgrcrmdO3TCTnhwpq9GslLnOGpHN2GrA2tZnYH1f2qMylForzujgk-L5cQfShJ1iJCqNnl4lVRsEmjaV1ahGjpXnYRlUmt_H5iugjF-FdkmUqTwHc_NzVUCUxm45Kz3i5aiV56p6u9gUK-ECZjcz2zt-UpjMVG0cjw2FnfkrlCDXhJuKM7rS3GyJrmvBG_Ow :: 258 :: 
5-10-6	<B> Vegas </B> :: 259 :: 	http://0.r.msn.com/?ld=4vQ-Ht1dUAoXHNcdLJyH01QOuqwDNimox__3NdHVp7DZEr4nc9lzS8uw1dlatppd2yTbm3_eWESSQYY-xxESSAZSWGeYogxghTEauFtObpLuy3FVCRgUpo4dVwlCCALuxO5O927rFshUbYgKvLMEp2QMOgrMl8r3zcW0cUlBcE3XDg5ooHPBlt6TaE4rkkEPXgrtgHk2Su1GF2Ffj9-EU9j0q9Ts6VFNgxj4_frH0hGrRRgAtBIG6ptLAV858bL4OybX4myrog7HcAnsd6LNAzvZ6YcUQeCHZtBtpgrcrmdO3TCTnhwpq9GslLnOGpHN2GrA2tZnYH1f2qMylForzujgk-L5cQfShJ1iJCqNnl4lVRsEmjaV1ahGjpXnYRlUmt_H5iugjF-FdkmUqTwHc_NzVUCUxm45Kz3i5aiV56p6u9gUK-ECZjcz2zt-UpjMVG0cjw2FnfkrlCDXhJuKM7rS3GyJrmvBG_Ow :: 260 :: 
5-10-7	, :: 261 :: 	http://0.r.msn.com/?ld=4vQ-Ht1dUAoXHNcdLJyH01QOuqwDNimox__3NdHVp7DZEr4nc9lzS8uw1dlatppd2yTbm3_eWESSQYY-xxESSAZSWGeYogxghTEauFtObpLuy3FVCRgUpo4dVwlCCALuxO5O927rFshUbYgKvLMEp2QMOgrMl8r3zcW0cUlBcE3XDg5ooHPBlt6TaE4rkkEPXgrtgHk2Su1GF2Ffj9-EU9j0q9Ts6VFNgxj4_frH0hGrRRgAtBIG6ptLAV858bL4OybX4myrog7HcAnsd6LNAzvZ6YcUQeCHZtBtpgrcrmdO3TCTnhwpq9GslLnOGpHN2GrA2tZnYH1f2qMylForzujgk-L5cQfShJ1iJCqNnl4lVRsEmjaV1ahGjpXnYRlUmt_H5iugjF-FdkmUqTwHc_NzVUCUxm45Kz3i5aiV56p6u9gUK-ECZjcz2zt-UpjMVG0cjw2FnfkrlCDXhJuKM7rS3GyJrmvBG_Ow :: 262 :: 
5-10-8	<B> NV </B> :: 263 :: 	http://0.r.msn.com/?ld=4vQ-Ht1dUAoXHNcdLJyH01QOuqwDNimox__3NdHVp7DZEr4nc9lzS8uw1dlatppd2yTbm3_eWESSQYY-xxESSAZSWGeYogxghTEauFtObpLuy3FVCRgUpo4dVwlCCALuxO5O927rFshUbYgKvLMEp2QMOgrMl8r3zcW0cUlBcE3XDg5ooHPBlt6TaE4rkkEPXgrtgHk2Su1GF2Ffj9-EU9j0q9Ts6VFNgxj4_frH0hGrRRgAtBIG6ptLAV858bL4OybX4myrog7HcAnsd6LNAzvZ6YcUQeCHZtBtpgrcrmdO3TCTnhwpq9GslLnOGpHN2GrA2tZnYH1f2qMylForzujgk-L5cQfShJ1iJCqNnl4lVRsEmjaV1ahGjpXnYRlUmt_H5iugjF-FdkmUqTwHc_NzVUCUxm45Kz3i5aiV56p6u9gUK-ECZjcz2zt-UpjMVG0cjw2FnfkrlCDXhJuKM7rS3GyJrmvBG_Ow :: 264 :: 
5-10-9	Listings Today! :: 265 :: 	http://0.r.msn.com/?ld=4vQ-Ht1dUAoXHNcdLJyH01QOuqwDNimox__3NdHVp7DZEr4nc9lzS8uw1dlatppd2yTbm3_eWESSQYY-xxESSAZSWGeYogxghTEauFtObpLuy3FVCRgUpo4dVwlCCALuxO5O927rFshUbYgKvLMEp2QMOgrMl8r3zcW0cUlBcE3XDg5ooHPBlt6TaE4rkkEPXgrtgHk2Su1GF2Ffj9-EU9j0q9Ts6VFNgxj4_frH0hGrRRgAtBIG6ptLAV858bL4OybX4myrog7HcAnsd6LNAzvZ6YcUQeCHZtBtpgrcrmdO3TCTnhwpq9GslLnOGpHN2GrA2tZnYH1f2qMylForzujgk-L5cQfShJ1iJCqNnl4lVRsEmjaV1ahGjpXnYRlUmt_H5iugjF-FdkmUqTwHc_NzVUCUxm45Kz3i5aiV56p6u9gUK-ECZjcz2zt-UpjMVG0cjw2FnfkrlCDXhJuKM7rS3GyJrmvBG_Ow :: 266 :: 
5-11-1	Explore All :: 257 :: 	http://0.r.msn.com/?ld=4vc82CrYcWgEFJyVZ3pM5aKIzrQEsT4XbuvnW1tQfO5SFxLYTpEjOTW2s4SIKZhEF6f_tIS4i5LeEGw0_wvwqDLAQeKRMHLDP5__ZvGjw4DMavs4avDdM1IzLOAXN16C9MQg7ErJX9OOqr40TTi8Ku1mvQV_-ABllZbdpsT1XCs1p2zSIciwvYIia9MNyFELeE9nXNmQwMYCup_rBPOvUHbURJeSw0WoCY2VfYZYVH0IzOmLyrQWlbvmF47q6VN7i-3psZJAjlRI3onl1qQmJzyEfpCeYlqyghWIze-zD85-PV2B5HtMgtLOspe0hF2dzoJXjY2oHU8ECUn3hYjc7PBTG-Vclz8TGFHtxaN4lGgPp89Fkuq6s4nReIN7m0SxktceAaF08aCgRCq07GHL0bZjVUCUz4N_j6llGwKZbWdpJ3xii_ECZjcz3HnX3yUCsdvyHRFvpy6Af0zwQM1wuRZvmcqMFiTYtCQQ :: 258 :: 
5-11-2	<B> Kansas </B> :: 259 :: 	http://0.r.msn.com/?ld=4vc82CrYcWgEFJyVZ3pM5aKIzrQEsT4XbuvnW1tQfO5SFxLYTpEjOTW2s4SIKZhEF6f_tIS4i5LeEGw0_wvwqDLAQeKRMHLDP5__ZvGjw4DMavs4avDdM1IzLOAXN16C9MQg7ErJX9OOqr40TTi8Ku1mvQV_-ABllZbdpsT1XCs1p2zSIciwvYIia9MNyFELeE9nXNmQwMYCup_rBPOvUHbURJeSw0WoCY2VfYZYVH0IzOmLyrQWlbvmF47q6VN7i-3psZJAjlRI3onl1qQmJzyEfpCeYlqyghWIze-zD85-PV2B5HtMgtLOspe0hF2dzoJXjY2oHU8ECUn3hYjc7PBTG-Vclz8TGFHtxaN4lGgPp89Fkuq6s4nReIN7m0SxktceAaF08aCgRCq07GHL0bZjVUCUz4N_j6llGwKZbWdpJ3xii_ECZjcz3HnX3yUCsdvyHRFvpy6Af0zwQM1wuRZvmcqMFiTYtCQQ :: 260 :: 
5-11-3	<B> City </B> :: 261 :: 	http://0.r.msn.com/?ld=4vc82CrYcWgEFJyVZ3pM5aKIzrQEsT4XbuvnW1tQfO5SFxLYTpEjOTW2s4SIKZhEF6f_tIS4i5LeEGw0_wvwqDLAQeKRMHLDP5__ZvGjw4DMavs4avDdM1IzLOAXN16C9MQg7ErJX9OOqr40TTi8Ku1mvQV_-ABllZbdpsT1XCs1p2zSIciwvYIia9MNyFELeE9nXNmQwMYCup_rBPOvUHbURJeSw0WoCY2VfYZYVH0IzOmLyrQWlbvmF47q6VN7i-3psZJAjlRI3onl1qQmJzyEfpCeYlqyghWIze-zD85-PV2B5HtMgtLOspe0hF2dzoJXjY2oHU8ECUn3hYjc7PBTG-Vclz8TGFHtxaN4lGgPp89Fkuq6s4nReIN7m0SxktceAaF08aCgRCq07GHL0bZjVUCUz4N_j6llGwKZbWdpJ3xii_ECZjcz3HnX3yUCsdvyHRFvpy6Af0zwQM1wuRZvmcqMFiTYtCQQ :: 262 :: 
5-11-4	, MO Listings with Pictures and Maps! :: 263 :: 	http://0.r.msn.com/?ld=4vc82CrYcWgEFJyVZ3pM5aKIzrQEsT4XbuvnW1tQfO5SFxLYTpEjOTW2s4SIKZhEF6f_tIS4i5LeEGw0_wvwqDLAQeKRMHLDP5__ZvGjw4DMavs4avDdM1IzLOAXN16C9MQg7ErJX9OOqr40TTi8Ku1mvQV_-ABllZbdpsT1XCs1p2zSIciwvYIia9MNyFELeE9nXNmQwMYCup_rBPOvUHbURJeSw0WoCY2VfYZYVH0IzOmLyrQWlbvmF47q6VN7i-3psZJAjlRI3onl1qQmJzyEfpCeYlqyghWIze-zD85-PV2B5HtMgtLOspe0hF2dzoJXjY2oHU8ECUn3hYjc7PBTG-Vclz8TGFHtxaN4lGgPp89Fkuq6s4nReIN7m0SxktceAaF08aCgRCq07GHL0bZjVUCUz4N_j6llGwKZbWdpJ3xii_ECZjcz3HnX3yUCsdvyHRFvpy6Af0zwQM1wuRZvmcqMFiTYtCQQ :: 264 :: 
5-12-1	in Bangalore and Mysore by an ISO 9001-2000 property developer :: 229 :: 	http://0.r.msn.com/?ld=4vjudeqtQ4kk4yrBVOWVl1_IxEmpRsCVhFVU6r1dpX5JJk6oKBt2urFRbV00qDLzmfVfYfwR_OHSM1GyOSzvoKbDqi5_2qBO43k7JYmzQS9bdaO8Mkmmdi1VMOF2JDff2PZKgjQVK2srtsxvQYBWbvvUvA86PfSUofqSWpePgWtoqTnA5T9irPNWb2pTa0uqe0SAQIo4GT07R8hbIJ1MEl4Frhxn3JDq8DuY8zn2ScKVpV6OUaEzjd4thqPVC1kCpPtdr-waKB4wmpgmpiNWRRiTVUCUzhFvGYbK0034BFyImGQGjEECZjcz2aGMI9LJKb2i4Of6ftKRmsJhpKXbQd2XuqHRA81Audsw :: 230 :: 
5-13-1	1. Enter Zip 2. Get Your Free List Of Local Foreclosure Homes :: 257 :: 	http://700757.r.msn.com/?ld=4vm2EhLiU4znzR0GsVwQlXpJsra_NoZ5Ie5fEOFI4LK_lPJ7JIuv9AvGbbCNEYYbZMNBKHWFNLv1hJ5EadSPrmrAPgBK5AAXc4M6cxYsDa_fOo6iqG6QJ-YU8yO34dkSJ_RHL-id0SzSqst64XfL6hZ0UyywBWWNlljV-ecUTYp-HECGS1rcq9OmqZMlQejeakRMCw8_v7lhxGSByD1rB3_TVUCUyeEFZOF5BArQEeVo_FlNFVECZjcz1QMRjW5JOMLXqTR1aDanumhK9sL5tEK4aOSaVcJKJTBQ :: 258 :: 
5-14-1	1. Enter Zip 2. Get Your Free List Of Local Foreclosure Homes :: 218 :: 	http://700757.r.msn.com/?ld=4vEevAyTmiq28JYiswzsjYhOgSqKPxaWPrF8XfthZ275b-qrIBtrY-Wo32THETzOIf9mnTjV777v42mgnGgSPJbi2TAAQ_CXZMFKYCyyIOA0nZkCMnw5JJ2iI-IFBe30GaLKhtnsj-12mxixoQQWA0PERegJ5IN9KXSK-jvb7_JH7q7sUE--HuX3drsJh4t52nYwH8w3pGj_XuarkVbituLTVUCUx91xHZIk8J0Zvy_dau9iU4ECZjcz0q5JshfAvaEL9vALMmq_1dUpd_VsnTNllpMzSD-aBD5g :: 219 :: 
5-15-1	View :: 222 :: 	http://0.r.msn.com/?ld=4vBaTgI8Fk-y9fEy9JVekCIYRs3w91ltFzLMBOUPyBRaRzHe6erZATbDfuYTuCB7An2dxDcD4dPrORjSZ72GusnbmqIau_hR3rphqH0kuMDMoZ-3M8mv4Tgk18Ui-2fS8K54wdAQ0VBs8GmZdtpu11VqbgShePv9oYEzuSdTL9zl_dZEhPW2iQroPu5bOV0LgBH55D1L3G_2sFmxUcxBgkXOdXTA4q6wigEhq9JJL9tzqH8RMYzOXWnW3vnfF7bNF5NVQJTM25f0mEYCaZfqrEZMDbjjgQJmNzPTew2qraU9fxEaRK0z5p5I2wyYRXnG4nm_z4W0JZQKGc :: 223 :: 
5-15-2	<B> San </B> :: 224 :: 	http://0.r.msn.com/?ld=4vBaTgI8Fk-y9fEy9JVekCIYRs3w91ltFzLMBOUPyBRaRzHe6erZATbDfuYTuCB7An2dxDcD4dPrORjSZ72GusnbmqIau_hR3rphqH0kuMDMoZ-3M8mv4Tgk18Ui-2fS8K54wdAQ0VBs8GmZdtpu11VqbgShePv9oYEzuSdTL9zl_dZEhPW2iQroPu5bOV0LgBH55D1L3G_2sFmxUcxBgkXOdXTA4q6wigEhq9JJL9tzqH8RMYzOXWnW3vnfF7bNF5NVQJTM25f0mEYCaZfqrEZMDbjjgQJmNzPTew2qraU9fxEaRK0z5p5I2wyYRXnG4nm_z4W0JZQKGc :: 225 :: 
5-15-3	<B> Francisco </B> :: 226 :: 	http://0.r.msn.com/?ld=4vBaTgI8Fk-y9fEy9JVekCIYRs3w91ltFzLMBOUPyBRaRzHe6erZATbDfuYTuCB7An2dxDcD4dPrORjSZ72GusnbmqIau_hR3rphqH0kuMDMoZ-3M8mv4Tgk18Ui-2fS8K54wdAQ0VBs8GmZdtpu11VqbgShePv9oYEzuSdTL9zl_dZEhPW2iQroPu5bOV0LgBH55D1L3G_2sFmxUcxBgkXOdXTA4q6wigEhq9JJL9tzqH8RMYzOXWnW3vnfF7bNF5NVQJTM25f0mEYCaZfqrEZMDbjjgQJmNzPTew2qraU9fxEaRK0z5p5I2wyYRXnG4nm_z4W0JZQKGc :: 227 :: 
